Date,1-month Yield - US Trasury Securities
2002-01-01,
2002-01-08,1.7
2002-01-15,1.64
2002-01-22,1.67
2002-01-29,1.72
2002-02-05,1.74
2002-02-12,1.76
2002-02-19,1.73
2002-02-26,1.78
2002-03-05,1.78
2002-03-12,1.82
2002-03-19,1.81
2002-03-26,1.82
2002-04-02,1.79
2002-04-09,1.73
2002-04-16,1.71
2002-04-23,1.68
2002-04-30,1.77
2002-05-07,1.77
2002-05-14,1.78
2002-05-21,1.73
2002-05-28,1.73
2002-06-04,1.73
2002-06-11,1.75
2002-06-18,1.7
2002-06-25,1.74
2002-07-02,1.72
2002-07-09,1.72
2002-07-16,1.74
2002-07-23,1.73
2002-07-30,1.73
2002-08-06,1.71
2002-08-13,1.68
2002-08-20,1.69
2002-08-27,1.69
2002-09-03,1.69
2002-09-10,1.72
2002-09-17,1.7
2002-09-24,1.68
2002-10-01,1.63
2002-10-08,1.62
2002-10-15,1.66
2002-10-22,1.71
2002-10-29,1.58
2002-11-05,1.44
2002-11-12,1.2
2002-11-19,1.23
2002-11-26,1.27
2002-12-03,1.23
2002-12-10,1.23
2002-12-17,1.22
2002-12-24,1.17
2002-12-31,1.2
2003-01-07,1.17
2003-01-14,1.18
2003-01-21,1.17
2003-01-28,1.19
2003-02-04,1.18
2003-02-11,1.19
2003-02-18,1.19
2003-02-25,1.25
2003-03-04,1.23
2003-03-11,1.15
2003-03-18,1.19
2003-03-25,1.21
2003-04-01,1.17
2003-04-08,1.19
2003-04-15,1.17
2003-04-22,1.14
2003-04-29,1.14
2003-05-06,1.09
2003-05-13,1.02
2003-05-20,1.02
2003-05-27,1.15
2003-06-03,1.17
2003-06-10,1.1
2003-06-17,0.93
2003-06-24,0.82
2003-07-01,0.89
2003-07-08,0.92
2003-07-15,0.88
2003-07-22,0.89
2003-07-29,0.99
2003-08-05,0.93
2003-08-12,0.93
2003-08-19,0.96
2003-08-26,1.01
2003-09-02,0.98
2003-09-09,0.95
2003-09-16,0.91
2003-09-23,0.89
2003-09-30,0.87
2003-10-07,0.85
2003-10-14,0.89
2003-10-21,0.92
2003-10-28,0.98
2003-11-04,0.97
2003-11-11,
2003-11-18,0.95
2003-11-25,0.97
2003-12-02,0.96
2003-12-09,0.93
2003-12-16,0.88
2003-12-23,0.89
2003-12-30,0.88
2004-01-06,0.88
2004-01-13,0.86
2004-01-20,0.8
2004-01-27,0.89
2004-02-03,0.93
2004-02-10,0.91
2004-02-17,0.9
2004-02-24,0.97
2004-03-02,0.98
2004-03-09,0.98
2004-03-16,0.97
2004-03-23,0.96
2004-03-30,0.97
